trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
499,False,"{'a': 0.6, 'e': 0.006636851557994551}",25,4,37.14493006780595,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
500,False,"{'a': 0.6, 'e': 0.006570483042414605}",25,7,9.524103281864466,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
501,False,"{'a': 0.6, 'e': 0.006504778211990459}",25,0,37.63907135446515,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
502,False,"{'a': 0.6, 'e': 0.006439730429870554}",20,12,15.447387001842024,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
503,False,"{'a': 0.6, 'e': 0.0063753331255718484}",25,19,9.420528717152358,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
504,False,"{'a': 0.6, 'e': 0.00631157979431613}",20,10,15.514556645238834,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
505,False,"{'a': 0.6, 'e': 0.006248463996372969}",20,12,13.14651133566296,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
506,False,"{'a': 0.6, 'e': 0.006185979356409239}",25,19,10.91843820482302,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
507,False,"{'a': 0.6, 'e': 0.006124119562845147}",25,0,39.863773236673474,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
508,False,"{'a': 0.6, 'e': 0.006062878367216695}",25,9,28.746055957920966,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
509,False,"{'a': 0.6, 'e': 0.006002249583544528}",20,11,16.54360694973866,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
510,False,"{'a': 0.6, 'e': 0.005942227087709083}",25,11,26.73190859583958,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
511,False,"{'a': 0.6, 'e': 0.005882804816831992}",35,25,17.1410575959509,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
512,False,"{'a': 0.6, 'e': 0.005823976768663672}",25,11,27.479806309789268,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
513,False,"{'a': 0.6, 'e': 0.005765737000977035}",20,7,28.485973421444662,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
514,False,"{'a': 0.6, 'e': 0.005708079630967265}",35,17,30.67746045936742,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
515,False,"{'a': 0.6, 'e': 0.005650998834657592}",35,20,28.885294944786718,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
516,False,"{'a': 0.6, 'e': 0.005594488846311016}",25,12,21.753605630965485,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
517,False,"{'a': 0.6, 'e': 0.005538543957847906}",20,0,9.516859613293912,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
518,False,"{'a': 0.6, 'e': 0.005483158518269427}",25,0,38.06735584584815,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
519,False,"{'a': 0.6, 'e': 0.005428326933086733}",20,14,10.540727777688605,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
520,False,"{'a': 0.6, 'e': 0.005374043663755866}",25,3,27.695619804720362,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
521,False,"{'a': 0.6, 'e': 0.005320303227118307}",25,9,29.02655477973082,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
522,False,"{'a': 0.6, 'e': 0.005267100194847124}",20,6,22.476984542889195,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
523,False,"{'a': 0.6, 'e': 0.005214429192898652}",20,6,10.222645424483328,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
524,False,"{'a': 0.6, 'e': 0.005162284900969666}",35,28,17.11883526200507,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
525,False,"{'a': 0.6, 'e': 0.005110662051959969}",25,15,16.385211055051098,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
526,False,"{'a': 0.6, 'e': 0.005059555431440369}",30,19,20.449073583934354,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
527,False,"{'a': 0.6, 'e': 0.005008959877125965}",25,14,22.659051680203575,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
528,False,"{'a': 0.6, 'e': 0.004958870278354705}",30,17,26.937944236159066,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.6, 'e': 0.004909281575571158}",25,2,37.00493415180543,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.6, 'e': 0.004860188759815446}",20,11,20.004491650567395,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.6, 'e': 0.004811586872217292}",25,0,36.69561672145725,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
532,False,"{'a': 0.6, 'e': 0.004763471003495119}",25,13,25.015312482372916,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
533,False,"{'a': 0.6, 'e': 0.004715836293460168}",20,8,13.427612146608112,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
534,False,"{'a': 0.6, 'e': 0.004668677930525566}",25,13,21.211212679764337,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
535,False,"{'a': 0.6, 'e': 0.00462199115122031}",25,13,22.66283504501673,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
536,False,"{'a': 0.6, 'e': 0.004575771239708107}",30,16,26.78517435367269,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,False,"{'a': 0.6, 'e': 0.004530013527311026}",20,3,30.840850537773623,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,False,"{'a': 0.6, 'e': 0.004484713392037916}",30,11,8.782719229161689,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
539,False,"{'a': 0.6, 'e': 0.004439866258117537}",25,16,16.678879008379806,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
540,False,"{'a': 0.6, 'e': 0.004395467595536362}",25,0,39.03393616062833,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
541,False,"{'a': 0.6, 'e': 0.004351512919580998}",30,19,19.63565718107214,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.6, 'e': 0.004307997790385188}",20,1,25.20003369866136,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
543,False,"{'a': 0.6, 'e': 0.004264917812481336}",25,19,10.194151003786075,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
